concept_id,concept_name,table
22274,Neoplasm of uncertain behavior of larynx,condition_occurrence
22281,Sickle cell-hemoglobin SS disease,condition_occurrence
22288,Hereditary elliptocytosis,condition_occurrence
22340,Esophageal varices without bleeding,condition_occurrence
22350,Edema of larynx,condition_occurrence
22492,Foreign body in pharynx,condition_occurrence
22666,Vomiting after gastrointestinal tract surgery,condition_occurrence
22839,Overlapping malignant neoplasm of larynx,condition_occurrence
22856,Polyglandular dysfunction,condition_occurrence
22945,Horizontal overbite,condition_occurrence
22955,Perforation of esophagus,condition_occurrence
23034,Neonatal hypoglycemia,condition_occurrence
23137,Chlamydial pharyngitis,condition_occurrence
23220,Chronic tonsillitis,condition_occurrence
23325,Heartburn,condition_occurrence
23653,Foreign body in esophagus,condition_occurrence
23731,Benign neoplasm of larynx,condition_occurrence
23798,Acute laryngopharyngitis,condition_occurrence
23806,Atrophy of salivary gland,condition_occurrence
23865,Congenital anomaly of pharynx,condition_occurrence
23868,Congenital anomaly of esophagus,condition_occurrence
23986,Disorder of pituitary gland,condition_occurrence
23988,Hemolytic anemia due to glutathione metabolism disorder,condition_occurrence
24134,Neck pain,condition_occurrence
24148,Congenital diverticulum of pharynx,condition_occurrence
24230,Foreign body in larynx,condition_occurrence
24296,Primary malignant neoplasm of pituitary gland,condition_occurrence
24602,Benign neoplasm of esophagus,condition_occurrence
24609,Hypoglycemia,condition_occurrence
24612,"Multiple endocrine neoplasia, type 2",condition_occurrence
24660,Acute tonsillitis,condition_occurrence
24818,Injury of neck,condition_occurrence
24884,Benign neoplasm of carotid body,condition_occurrence
24897,Carcinoma in situ of larynx,condition_occurrence
24909,Hereditary spherocytosis,condition_occurrence
24970,Chronic laryngitis,condition_occurrence
24974,Stenosis of larynx,condition_occurrence
24977,Mucocele of salivary gland,condition_occurrence
25297,Acute pharyngitis,condition_occurrence
25486,Primary malignant neoplasm of islets of Langerhans,condition_occurrence
25518,Sickle cell trait,condition_occurrence
25572,Disorder of salivary gland,condition_occurrence
25748,Overlapping malignant neoplasm of esophagus,condition_occurrence
25844,Ulcer of esophagus,condition_occurrence
26052,Primary malignant neoplasm of larynx,condition_occurrence
26060,Benign neoplasm of tonsil,condition_occurrence
